City_Name,Country Codes,Lat,Lng,Date,Max_Temp,Cloudiness,Humidty,Wind Speed
Millau,FR,44.32609086986233,3.246025546581535,1551650400,46.4,0,61,8.05
Miyako,JP,40.20383577021204,142.07680880469394,1551652603,42.79,64,100,4.29
Pontian Kecil,MY,1.0148622075820413,102.96034987456943,1551652604,80.36,20,100,14.7
Bacuit,PH,12.842619033611186,115.84259137661087,1551652605,79.91,0,100,11.45
Usakos,NA,-21.803258594175517,15.270180064167334,1551652605,57.5,0,90,2.73
Coihaique,CL,-43.779333771158285,-71.46423934965416,1551650400,50.0,0,81,10.29
Voh,NC,-23.53761408135506,162.09665465988502,1551652607,78.11,92,96,22.75
Husavik,IS,71.82464070294685,-14.380491873875599,1551652607,21.55,68,100,28.68
Kholodnyy,RU,61.33794175079373,147.0938302041812,1551652608,-10.27,0,61,11.45
Bollnas,SE,61.87829308831721,16.00183307184318,1551652609,22.36,92,87,3.4
Rawson,AR,-49.2592551481688,-59.373323896157615,1551652609,51.07,64,93,22.75
Kaeo,NZ,-28.401218688630095,175.12473589912656,1551652610,74.92,48,100,21.74
Dimona,IL,31.299922335067194,35.29993553080615,1551652451,50.0,0,62,2.17
Bay Roberts,CA,41.448842242621424,-52.53372591150058,1551652611,48.05,32,100,41.88
Saint-Pierre,PM,45.16979454826392,-56.25360277011265,1551652612,30.55,64,100,25.66
Salalah,OM,14.451509528870162,53.82202529129171,1551652613,78.79,20,98,11.68
Harda,IN,22.30186808773709,77.31039116930992,1551652613,58.09,0,79,2.73
Nizwa,OM,23.467403408802667,55.88380071788316,1551652429,60.01,0,54,1.01
Hun,LY,29.181272023835447,14.20952956571017,1551652615,41.44,0,61,2.95
Sai Buri,TH,7.136863289769181,102.47500909555947,1551652615,79.55,8,100,8.99
Faya,TD,17.59020242929661,19.95477747157591,1551652616,72.4,0,17,11.68
Zhanatas,KZ,45.213045643356594,71.09866709623455,1551652616,34.51,12,84,5.19
Terney,RU,44.734576545684604,137.5465677289052,1551652617,32.44,0,99,1.61
Bababe,MR,17.16854597828467,-13.152507459931456,1551652617,65.83,0,13,11.23
Los Llanos De Aridane,ES,26.72286680791349,-26.759591524557266,1551652618,67.72,8,100,14.58
Broken Hill,AU,-31.53421439008082,142.59409389166876,1551652619,91.12,0,37,9.22
Maidens,GB,55.42224664811036,-4.880854552506662,1551652344,41.0,75,93,12.75
Hailar,CN,47.66743948366681,119.52374679076729,1551652621,10.48,12,65,2.73
Trojes,HN,14.151167714328238,-85.60411252661764,1551652621,74.56,44,68,2.39
Bambanglipuro,ID,-13.692415965506768,109.60731371965392,1551652622,78.56,92,100,18.39
Umm Kaddadah,SD,15.605542770559367,27.1179916192184,1551652623,57.1,0,30,5.41
Khormuj,IR,28.48360514472904,51.63447738168716,1551652624,43.15,0,83,4.63
Tumannyy,RU,75.40195967262528,36.747747683526654,1551652625,8.81,44,100,15.93
Tommot,RU,58.92449523106336,127.09104401287453,1551652625,8.23,64,69,2.51
Korla,CN,37.21735593102464,87.07944997142272,1551652626,-11.85,24,66,3.4
Bati,ET,11.353543281386777,40.531330300149136,1551652626,71.81,0,53,10.45
Pevek,RU,75.69525681548197,168.6302339985603,1551652627,-3.25,36,75,25.77
